Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
India,2006-2023,202,127,66,4,5,1.924,23.13,7.89,200,245,66
Pakistan,2006-2023,211,121,81,3,6,1.493,22.16,7.6,211,221,60
Australia,2005-2023,176,93,76,3,4,1.223,22.59,7.9,175,243,73
South Africa,2005-2023,168,93,71,1,3,1.309,22.16,8.08,168,258,80
England,2005-2023,175,92,75,2,6,1.226,24.65,8.25,173,248,45
New Zealand,2005-2023,188,91,82,10,5,1.109,23.34,8.04,186,245,70
West Indies,2006-2023,182,75,94,3,10,0.797,25.02,8.2,178,259,68
Sri Lanka,2006-2023,171,71,94,4,2,0.755,25.09,7.98,170,263,60
Bangladesh,2006-2023,139,46,90,0,3,0.511,26.18,8.03,136,224,60
Afghanistan,2010-2023,80,44,34,1,1,1.294,21.41,7.55,79,225,71
Zimbabwe,2006-2023,96,20,75,0,1,0.266,28.58,8.25,96,229,99
Ireland,2009-2023,76,18,53,1,4,0.339,26.77,8.44,75,278,124
