Team,Span,Mat,Won,Lost,Tied,Draw,NR,W/L,Ave,RPO,Inns,HS,LS
Australia,1877-2023,1974,1056,649,14,218,37,1.627,33.75,3.5,2668,758,36
England,1877-2023,1979,837,739,11,355,37,1.132,31.48,3.17,2817,903,45
India,1932-2023,1731,776,672,14,220,49,1.154,33.32,3.72,2150,759,36
Pakistan,1952-2023,1542,699,639,12,165,27,1.093,30.75,3.72,1889,765,43
South Africa,1889-2023,1226,620,453,7,123,23,1.368,32.27,3.54,1597,682,30
West Indies,1928-2023,1517,607,681,14,179,36,0.891,30.12,3.57,1958,790,45
New Zealand,1930-2023,1384,512,641,17,167,47,0.798,28.62,3.46,1746,690,26
Sri Lanka,1975-2023,1280,499,646,9,87,39,0.772,29.02,3.98,1508,952,43
Zimbabwe,1983-2023,611,101,464,8,26,12,0.217,23.84,3.75,699,563,35
Afghanistan,2009-2023,194,97,90,2,0,5,1.077,25.14,5.28,198,545,58
Ireland,2006-2023,224,67,139,4,0,14,0.482,23.53,5.18,224,492,38
Scotland,1999-2023,104,19,77,2,0,6,0.246,22.0,5.1,99,371,60
